"State Office","Divisional Office","Sales Area","RO Code","RO Name","DRC (Location)","Address","State","District","Pin Code","RO Type","Class Of Market","Highway No","Latitude","Longitude","Primary Mobile","Secondary Mobile","Email","Last Load","Sales Officer Name","Sales Officer Mobile","Sales Officer Email","DRSM Name","DRSM Mobile","DRSM Email"
"Maharashtra SO","GOA DO","Sangli West RSA","267451","JYOTIRLING KISAN SEWA KENDRA","YELLUR                  -SANGLI","VILLAGE YELLUR,YELLUR,YELLUR","Maharashtra","SANGLI","415411","KSK-B Recovery","E"," ","16.951242","74.273466","9970149874","9730300365","jotirling.ksk@gmail.com","18-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","208747","SHRI SAMARTH KISAN SEVA KENDRA","MIRAJ(OML)               000411-SANGLI","GAT NO. F4 /4,KUPWAD,KUPWAD","Maharashtra","SANGLI","416436","KSK-B Recovery","E"," ","16.871443","74.629108","7030255139","0","akshaygholap888@gmail.com","02-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","242645","MANGALNATH KISAN SEVA KENDRA","MANGALE                    -SANGLI","CTS NO. 124/2 AT MANGLE,TAL SHIRALA,SANGLI","Maharashtra","SANGLI","416416","KSK-B Recovery","E"," ","16.911409","74.139732","9423273751","0","rnpcontact102030@gmail.com","26-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","164768","Shri Mahalaxmi Petroleum","TAKARI","At Takari Dist. Sangli,At Takari Dist. Sangli,Takari","Maharashtra","SANGLI","415313","RO B Site","D1","266","17.144817","74.332155","9881999099","0","ppvengurlekar@gmail.com","25-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","336508","VARAD PETROLEUM","MIRAJ(WML)         000411-SANGLI","MIRAJ,DIST- SANGLI,MIRAJ","Maharashtra","SANGLI","416410","RO B Site","B"," ","16.827788","74.660432","8767221852","0","amoghkulkarni1982@gmail.com","24-MAY-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","196253","DUDHONDI GRAM VIKAS SAH. SOCIE","DUDHONDI                -SANGLI","""SURVEY NO.552 AT DUDHONDI"",""TAL. PALUS DIST. SANGLI"",DUDHONDI","Maharashtra","SANGLI","416308","KSK-B Recovery","E"," ","17.082415","74.400927","9271737680","0","ayushranmale06@gmail.com","26-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","176533","RAJARAMBAPU Patil S.SK Ltd.Wategaon","WATEGAON               - SANGLI","GAT NO. 1061 / B,TAL WALVA,WATEGAON","Maharashtra","SANGLI","415410","RO B Site","E"," ","17.067877","74.154274","9730934338","0","rajarambapupetrolpump@gmail.com","26-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","162504","Mehta Filling Station","MIRAJ(WML)         000411-SANGLI","At Sangli Miraj Road Dist. Sangli,At Sangli Miraj Road,Sangli","Maharashtra","SANGLI","416416","RO A Site","B"," ","16.838308","74.622871","9422410632","9545647191","sohalmehta@yahoo.com","02-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","205199","SUNNY PETROLEUM","ASHTA           -00030  SANGLI","AT & PO ASHTA,TALUKA ASHTA,ASHTA  SANGLI","Maharashtra","SANGLI","416416","RO B Site","D2","166H","16.946049","74.426119","9922199921","0","jijabuilders@gmail.com","25-JUL-19","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","340113","SHRI DATTA PETROLINKS KSK","WANGI                     SANGLI","CHINCHANI AMBAK,TAL: KADEGAON,CHINCHANI","Maharashtra","SANGLI","415303","KSK-B Recovery","E"," ","17.211814","74.353515","9325428422","0","shridattaksk900@gmail.com","30-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","311574","SHINDE SARKAR PETROLEUM","SHIRGAON            -SANGLI","INDIAN OIL DEALERS,GAT NO. 252,SANGLI","Maharashtra","SANGLI","415303","RO B Site","E"," ","17.198727","74.418698","9503226810","0","shindesarkarpetroleumshirgaon@gmail.com","30-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","358783","RAVIRAJ PETROLEUM","ASHTA           -00030  SANGLI","INDIAN OIL DEALERS,GAT NO. 169/3/2/1 WALWA-PADWALWADI,PADWALWADI","Maharashtra","SANGLI","416313","KSK-B Recovery","E"," ","17.002169","74.361363","9890563181","0","rajendrachavan6085@gmail.com","29-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","126170","SADHANA AGENCIES","SANGLI              000611-SANGLI","SANGLI,SANGLI - KOLHAPUR ROAD,SANGLI","Maharashtra","SANGLI","416416","RO B Site","B"," ","16.845285","74.563345","9422040100","9665665737","pradeepbdadge@gmail.com","01-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","354611","COCO Palus-Adhoc Mehta Filling Stat","PALUS               005760-SANGLI","Indian Oil COCO,Palus,Palus","Maharashtra","SANGLI","416310","ADHOC Dealer-A site","D1"," ","17.089346","74.468689","0","9890176526","sohal4567@gmail.com","02-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","211278","VISHWAS KISAN SEVA KENDRA","KOKRUD              -SANGLI","GAT NO. 101/1 AT KOKRUD,TAL SHIRALA,SHIRALA","Maharashtra","SANGLI","416408","KSK-B Recovery","E"," ","16.999876","73.983261","9890063343","0","vikasnangre4500@gmail.com","23-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","196151","PRATIK PETROLEUM","ISLAMPUR(RE)       000291-SANGLI","""S. NO. 88 GAT NO. 6(P) 7A(P)"",""ISLAMPUR DIST. SANGLI"",SANGLI","Maharashtra","SANGLI","415409","RO B Site","C"," ","17.04394","74.252043","9881470979","8483999901","pratikpatil99979@gmail.com","30-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","195732","SARVODAYA SAH. SAKHAR KARKHANA","KARANDWADI                  -SANGLI","GAT NO. 305/2/2 AT KARANDWADI,DIST. SANGLI,KARANDWADI","Maharashtra","SANGLI","416416","RO B Site","D2","166H","16.940372","74.455186","9022355003","0","sarvodayasugar1996@gmail.com","16-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","325132","OM PETROLEUM","MIRAJ(OML)               000411-SANGLI","VILLAGE- MHAISAL,TALUKA- MIRAJ,MIRAJ","Maharashtra","SANGLI","416409","RO B Site","D2","244","16.774835","74.680196","9823087262","9595373292","omdevolepers0171@gmail.com","23-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","288272","PRADIPANAND PETROLEUM","BAHADURWADI         -SANGLI","INDIAN OIL DEALERS,MDR 03,BAHADURWADI","Maharashtra","SANGLI","415411","KSK-B Recovery","E"," ","16.923166","74.319559","7588586628","0","shivajiraoghorpade20@gmail.com","29-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","338900","SHEETAL PETROLINKS","MIRAJ(WML)         000411-SANGLI","GAT NO- 54 NILAJI,TAL- MIRAJ,MIRAJ","Maharashtra","SANGLI","416410","RO A Site-CorpusFund","D1","166","16.821816","74.616208","7218341254","0","sheetalpetrolinks@gmail.com","01-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","253799","SHIV SHANKAR KISAN SEVA KENDRA","BEDAG                 -SANGLI","GAT NO. 392/4 HISSA NO. B,MIRAJ BEDAG ROAD,BEDAG","Maharashtra","SANGLI","416421","KSK-B Recovery","E"," ","16.804497","74.723938","9822055341","0","patilumesh140@gmail.com","29-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","342521","JADHAV PETROLEUM","KAMERI            -SANGLI","YELUR,TALUKA- WALWA,YELUR","Maharashtra","SANGLI","415411","RO B Site","D1","48","16.939365","74.280759","9155929797","0","nitinjadhav2513@gmail.com","02-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","356448","Mangalya Kisan Seva Kendra","CHIKHALI             153 SANGLI","INDIAN OIL DEALERS,Sagaon Taluka- Shirala Dist- Sang,Sagaon","Maharashtra","SANGLI","415408","KSK-B Recovery","E"," ","16.916606","74.062253","9766738854","0","sachin09septpatil@gmail.com","01-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","240627","KEDARLING KISAN SEVA KENDRA","BAGNI                      -SANGLI","GAT NO. 470 AT BAGNI,TAL WALWA,SANGLI","Maharashtra","SANGLI","416305","KSK-B Recovery","E"," ","16.905493","74.378647","9561267979","0","maneraju936@gmail.com","29-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","284982","VITTHAL VIVIDH KARYAKARI SAHAK","AAMANAPUR             -SANGLI","SEVA SANSTHA MARYADIT,INDIANOIL DEALERS,AMANAPUR","Maharashtra","SANGLI","416308","KSK-B Recovery","C"," ","17.048253","74.44642","9422930788","0","vitthalv.k.s.s.v.amanapur@gmail.com","02-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","268491","SONIYAJI  FUEL STATION SHEDGEW","SHEDGEWADI          -SANGLE","GAT NO. 54/3 54/4 54/5 54/6,A/P SHEDGEWADI,SHEDGEWADI","Maharashtra","SANGLI","415405","RO B Site","D2","144","17.052215","73.99324","9513777711","0","sachin.shedge27@gmail.com","30-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","506508","NARWADKAR PATIL AUTOMOBILES","MIRAJ(OML)               000411-SANGLI","AT POST VIJAYNAGAR,DIST : SANGLI,MIRAJ","Maharashtra","SANGLI","416410","RO B Site","D2","152","16.771261","74.685241","9975358676","0","iocnarwadkar@gmail.com","30-APR-21","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
