Sl No,Section,Rule / Definition,Source,Status,Authority,Date Locked,Notes
1,TIME,Financial Year Definition,FY runs from April to March. April is the first month. March is the last month.,CURRENT,User confirmation,02-Jun-2026,Original spec
2,TIME,CY / Y0 / YO are interchangeable,CY / Y0 / YO all refer to the Current Financial Year. They are synonyms and must be normalised before processing.,CURRENT,User confirmation,02-Jun-2026,Original spec
3,TIME,LY / Y-1 are interchangeable,LY and Y-1 both refer to the Previous Financial Year (one year before CY).,CURRENT,User confirmation,02-Jun-2026,Original spec
4,TIME,Y-2 Definition,Y-2 refers to the year preceding LY — two years before CY.,CURRENT,User confirmation,02-Jun-2026,Original spec
5,TIME,Review Mode — Time Mapping,Review Mode: CY = 2025-26 / LY = 2024-25 / Y-2 = 2023-24. One-time exception for FY25-26 review.,RETIRED,User decision,02-Jun-2026,User declared Review Mode not relevant. CY is now triggered by full April figures in the database.
6,TIME,Planning Mode — Time Mapping,Planning Mode: CY = 2026-27 / LY = 2025-26 / Y-2 = 2024-25.,CURRENT,User confirmation,02-Jun-2026,Original spec retained for future use
7,TIME,Month Label Format,Canonical month labels are three-letter uppercase: APR MAY JUN JUL AUG SEP OCT NOV DEC JAN FEB MAR.,CURRENT,User confirmation,02-Jun-2026,Original spec
8,TIME,H1 Definition,H1 = APR through SEP. Months 1-6 of the financial year.,CURRENT,User confirmation,02-Jun-2026,Original spec
9,TIME,H2 Definition,H2 = OCT through MAR. Months 7-12 of the financial year.,CURRENT,User confirmation,02-Jun-2026,Original spec
10,TIME,CUM Period Definition,CUM = Cumulative from April of CY to the last completed month.,CURRENT,User confirmation,02-Jun-2026,Original spec
11,TIME,Last 12 Months Definition,Rolling 12-month period. Distinct from LY which is the full financial year.,CURRENT,User confirmation,02-Jun-2026,Original spec
12,TIME,AVG Period Definition,AVG = Average of the selected period.,CURRENT,User confirmation,02-Jun-2026,Original spec
13,TIME,Corresponding Period Definition,Same calendar period in the prior year. Used for YoY comparison.,CURRENT,User confirmation,02-Jun-2026,Original spec
14,TIME,Current Month Definition,The ongoing partial month. Distinct from the last completed month.,CURRENT,User confirmation,02-Jun-2026,Original spec
15,TIME,Last Completed Month Definition,The most recently fully closed calendar month unless otherwise specified.,CURRENT,User confirmation,02-Jun-2026,Original spec
16,TIME,Historic TA Type Instance,Based on cumulative volume of the last completed full FY. Changes only on 1 April each year.,CURRENT,User confirmation,02-Jun-2026,Original spec
17,TIME,CY Cumulative TA Type Instance,Based on cumulative volume from April of current FY to last completed month. Updates monthly.,CURRENT,User confirmation,02-Jun-2026,Original spec
18,TIME,Current Month TA Type Instance,Based on volume of the last completed month only. Updates monthly.,CURRENT,User confirmation,02-Jun-2026,Original spec
19,OMC,IOCL Canonical OMC Tag,IOCL is the canonical identifier in all master files. IOC is an alias used at the query layer only.,CURRENT,User confirmation,02-Jun-2026,Original spec
20,OMC,BPCL Alias,BPCL = BPC (alias). Canonical form BPCL used in master.,CURRENT,User confirmation,02-Jun-2026,Original spec
21,OMC,HPCL Alias,HPCL = HPC (alias). Canonical form HPCL used in master.,CURRENT,User confirmation,02-Jun-2026,Original spec
22,OMC,NEL Aliases,NEL = Nayara = Essar = EOL. Canonical form NEL used in master.,CURRENT,User confirmation,02-Jun-2026,Original spec
23,OMC,RBML Aliases,RBML = RIL = JioBP = Jio = JB. Canonical form RBML used in master.,CURRENT,User confirmation,02-Jun-2026,Original spec
24,OMC,SIMPL Aliases,SIMPL = Shell. Canonical form SIMPL used in master.,CURRENT,User confirmation,02-Jun-2026,Original spec
25,OMC,PSU Definition,PSU = IOCL + BPCL + HPCL. These three are public sector OMCs.,CURRENT,User confirmation,02-Jun-2026,Original spec
26,OMC,Industry Definition,Industry = All OMCs including PSU and Private (IOCL + BPCL + HPCL + NEL + RBML + SIMPL and any others).,CURRENT,User confirmation,02-Jun-2026,Original spec
27,OMC,PSU is a Subset of Industry,PSU market share uses only IOCL+BPCL+HPCL volume as denominator. Industry MS uses all OMCs.,CURRENT,User confirmation,02-Jun-2026,Original spec
28,PRODUCT,MS Product Definition,MS = Motor Spirit. Includes all petrol variants: MS Regular / XP95 / XP100 and any future variants. Default includes all unless explicitly excluded.,CURRENT,User confirmation,02-Jun-2026,Original spec
